user,cred,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,User.Upper
fabri,3176.699497099078,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9889767318830561,4.479872029087139,8.807618297562808,7.510402776683817,13.446762255045934,6.19487617995061,3.2455463185665625,1.9612744465329395,1.7231280378672307,26.73289231284604,52.51678716300221,48.19987964185344,41.26774542231288,33.51670346314398,18.971075796159685,9.531957828531606,21.072354142108797,17.798386480074182,20.52259314615498,29.99458489884287,30.70854952483791,57.3628830414641,62.07475547941986,70.26305373292239,65.5339094559555,56.71601412493756,56.68979780834493,58.19620155857359,54.943205233826895,27.966859859973138,29.31354730842873,37.80454320238659,26.404260171440907,13.119255376310278,16.64248808378314,9.007482976519935,5.76412682736295,2.6075667991953577,1.5934616393711627,42.996097435598635,41.6243084122556,20.827546343536874,8.95456855975596,22.3407278464406,9.616767742941859,20.34158243692419,12.723160430933026,6.3274629238972535,5.476492378634319,5.186230421839938,9.71157569760587,22.879993272669967,45.65792510693555,59.825092978661196,38.069753841483106,40.56119425423752,30.168045884826945,24.42335234529891,46.84065417669469,92.17719364928857,88.45452032263131,66.07317662308188,77.4988706760499,85.87014958739512,58.89768626009211,41.380407388622956,41.9525824353615,31.809395885442093,40.07394158757734,29.67861018039415,57.99097070544093,58.55500006476135,93.64979099073639,92.18225958966275,84.41268473174165,149.48869600472707,224.80957056371187,123.43365458030767,72.56242320761483,FABRI
sourcecred,1695.754953179175,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.91193394580389,34.600341972902086,52.25517098645112,171.01517098644982,283.1446075879473,482.49977297121427,408.1473864856044,244.18056824280208,SOURCECRED
bjerg,1417.2038358147497,0,0,0,0,0,1.0693823359509118,0.5165953881659751,0.2540010773334852,1.646454260202571,29.904518027308228,15.959326914722224,7.989246780060346,3.987948546864353,3.985996194736547,3.98646362791112,1.9833872677042395,1.0085401904009657,0.9930644461291851,0.48702605029571433,0.2369606161851494,0.11259879570858128,0.06102925989584391,0.030880515527515383,6.038197092938423,6.493390001073684,4.065791350270323,1.8615107475248067,0.9170569510315435,0.3718171035745704,0.1815525588780727,0.08771873569752014,0.05251197404372936,0.02049329031080934,0.008358504148681735,0.0034087558670838794,0.0013078567298847887,0.0004808150799574637,0.00019835205200775062,6.474869387934946e-05,2.2502637821754226e-05,7.461265251798664e-06,2.389724641095158e-06,7.516114470222752e-07,1.9758733814784705e-07,4.7844272862370565e-08,1.2146408718424933e-08,3.927657638078212e-09,7.486267174971285e-10,1.7410835191306253e-10,3.822901296984695e-11,9.423738549920942e-12,2.2538279224644757e-12,5.385197501857559e-13,1.3612514892926185e-13,3.5912386055570203e-14,8.683752005611761e-15,2.153407468004862e-15,6.133500810139593,3.6351456457034685,1.7943726483337026,1.391180137698411,0.688873077815617,0.3427460172285747,0.1965437746307578,0.09170485785293528,0.042008452627214934,0.019361781167448217,0.008874450260337213,0.5426524608012943,0.2775957038213663,0.15320230956047332,0.0742479960456565,0.05454259006264782,0.025031926865790713,0.013093225720932323,0.005377261831570825,0.0029086934063606,0.0015041005193990279,0.0017799856339442087,0.00044383356535665876,3.543906945932181,1.7094635282036132,0.8389537643477675,0.41703235609106176,0.208097391270095,0.1006009081191688,0.055793429761878295,0.026049264104335727,0.012601123083427689,0.007109864052442113,0.002858817938736571,0.0011098618695900197,0.0004950706055257449,0.00017816610683956291,7.676130051675515,14.086620751479074,24.174736241623425,19.116204026748793,21.656985074303048,11.825486703191679,25.350027743777215,18.943254994897647,9.551143404090222,5.171184215074672,3.1297148775984307,1.5508276579133617,1.4314034967888618,0.8997820417398841,2.177185540762044,7.171340289844201,6.790006913773554,9.153029323040114,5.429196242214737,8.44831294400965,4.027734594262399,1.9809001061599953,0.9551938744692283,27.03523935627207,23.122400986182672,10.684392119031049,33.78725537664296,31.869991360734303,39.271037157385614,19.29207813222224,7.424980382076587,12.764001166733319,6.333846935653432,5.584372492588255,4.343717863855363,2.1085954808023017,1.594169779489343,4.413822862398784,2.2732135421206023,16.301049333060856,20.721204469904368,9.935976273826906,9.922621372771472,5.064502958760553,3.081391420471717,1.6190820906865002,0.8659472096462917,0.5383835824064575,0.20750023319374772,0.1031369317215799,0.04424935402251823,9.043316397685112,14.82249529431585,7.3599555765270654,27.012039093454696,13.670426972009194,7.312293044128059,3.45484816657978,30.186684453547144,47.163969040609445,75.46525651621693,81.54215044741616,69.7658672608117,100.23970536643591,135.41159057838885,103.04648682259425,63.96393471641433,BJERG
rperez89,1393.9543233280222,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6845692471615744,0.13025556767957022,3.4056303168014077,3.0823906656163795,2.0894375236752065,7.912148121903751,4.8478371596649765,2.4795246119221304,1.498891499982425,2.1463577772809233,3.307620379062057,3.1476239429517467,7.173559228824684,12.086891061927878,7.9115187155908675,3.8485603972972746,1.8192953873491275,12.820699485000551,23.131299625538926,29.917132687742267,23.052098287909942,17.68234214656304,15.789724337153272,17.859551537405547,24.275857648626484,33.3920439831229,36.31959024051923,32.625246853450136,32.96886396897738,19.944354174184372,10.150886991827234,8.344179984429637,5.357337628626054,5.307114565379333,2.5054187672677903,1.3779849893568217,0.7297700530494043,0.3685845831089247,0.15785729646100968,0.09791173769853344,0.06211461940140536,0.025845349191006513,0.6767813780918529,0.2704729763894323,3.2794734328274076,2.1379249522460584,10.523102392631122,5.531504270396239,12.034208286443256,7.218423109502259,8.083012705327642,3.882136033712006,2.52196073890655,6.181649333782926,6.678327800339183,4.550783607103155,5.304750979169702,8.851832411685056,8.873222235970509,22.68368017643903,37.46521277459063,33.45334748194906,44.2478085891407,58.231310074710336,68.64398486708983,48.92199712274616,44.44532467827294,49.9517667090028,52.62794171477587,38.22905407277837,25.84783444247268,33.19985741364624,21.019922438004752,39.59109991245137,36.262385939022586,40.32755960258289,55.81401494642638,60.207540845251536,39.87185128503503,24.475338450425603,RPEREZ89
willjgriff,1362.172920165057,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.639635325352158,6.0966067458597895,3.316861209596869,2.297923434359836,1.5202805469404213,2.294133276086877,5.256030727155647,3.1785130603301135,5.965182137560209,5.08581069733072,17.668340677243506,15.014188021726785,7.00439143090101,10.293843941695101,9.100918067154288,8.517531102449347,9.101145662668795,13.49594649279183,19.786033592395537,26.842228346027074,39.13295292887536,38.90938784822921,20.43314237371155,14.304749332417586,8.518210745142515,24.883942729316,28.69004494223365,31.442261113623,15.533126729814345,7.936652230710501,4.037068142921518,2.123901162853415,29.95186462366446,14.919605870646606,7.541544407021272,7.472224085230016,4.878594153372456,2.2407655865782714,1.3807534797289132,5.687497045264908,2.302432859742782,1.0727329056810821,0.45311563949215944,0.2752831075886859,0.15230683867702055,0.12714794236193752,1.4646437905465193,7.8849734982993365,13.731774910487909,14.735070159164858,15.289638223145003,16.23973899737564,21.79689032392808,19.996137710790805,18.404596985624444,15.086147241432094,22.43508394130418,25.28545433652327,21.018708395849167,20.347316823263903,17.879089133915738,21.481041435386757,24.568922336775735,27.06385784512334,19.735648144612266,18.677865869435752,16.026322839418636,17.98062170930921,17.718317744988283,33.614860908808375,27.1092401517583,31.846119719153798,26.29829257580079,34.76463651200223,56.11994279848191,49.08346666393387,77.39515691751389,71.57169070598565,47.64479749439212,WILLJGRIFF
lkngtn,1144.3535619119205,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.135959352271487,2.135076402949012,3.251893156229278,2.1074583533082754,7.10239497697209,12.893486047901122,6.347611088803443,3.8771807772634213,2.3424866933869444,1.001524779067011,2.254670433122619,5.021897377944896,4.2416218027084565,5.357066794453016,5.415608010114716,7.294069224288095,3.3895599949112287,7.479006679153548,4.546765789780475,3.002118693952374,7.106587398898172,6.00094180809459,4.657416871011042,4.142761556379211,2.342063745732782,10.982523876558805,8.434304603937079,7.4999434839047225,10.205557032929155,7.7790198031627735,4.433130504767599,4.9843035207938176,4.936029612689586,3.1954965925490386,1.925150092764456,1.0360846686004999,10.199359671191289,5.882293893008054,2.918267936018132,13.950115960664085,18.43760268479661,14.069675461821602,7.634371339096793,3.6721786310349556,8.184765385876421,4.6004334568201495,4.6942876283240285,2.611877867365361,1.5175925070282235,3.435927150052838,4.316690658407109,12.050373619722093,16.273451723932165,8.733071564040152,5.626623791838139,6.343694222490672,3.0670542496405564,2.255011239323529,1.5574961917620744,0.96825986978053,1.9621815477164668,3.6580870130909022,9.764698677927234,9.724853390997323,6.516471905158584,5.831510685297809,9.097045148667872,9.442038240639315,8.805787280869612,10.73416235713055,27.542051966967353,49.30794295053937,54.219451039560475,53.84894125570731,68.82833262626487,86.03010186974385,74.36013288619455,120.85189658760322,118.60071092623626,72.36791525021707,LKNGTN
sandpiper,760.7678510860412,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7494357262752482,2.8654359702189307,3.062151477941281,15.878618863722021,21.12520066081196,27.40336928669106,51.11266962401495,63.851767999554305,134.5411399028818,131.98962325898873,152.19296388900244,96.56110062487728,58.43437380106118,SANDPIPER
luigy-lemon,675.7261619668654,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264476194007152,31.773527749092732,37.11783915831219,52.459265347082834,57.60909632601248,96.73844669989764,99.41449649887463,141.9538545652447,100.97502144303114,55.42013798531001,LUIGY-LEMON
HoneyB,621.5007153049554,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.26133627573019,33.237374688000415,91.29340718245497,210.52737249094312,171.97700871317653,103.20421595465022,HONEYB
Harry,607.7583429425251,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03324815408450663,0.09376054078352648,22.281715806258983,49.864968158927844,137.59127197315047,134.32009530677288,133.1846735720267,85.2444446393112,45.14416479120903,HARRY
